,z_level,COG,ZARR
0,9.0,0.17941,0.473029
1,10.0,0.226803,0.311624
2,11.0,0.223043,0.329082
3,12.0,0.175634,0.277319
4,13.0,0.226675,0.281074
5,14.0,0.224788,0.390299
6,15.0,0.11991,0.230858
7,16.0,0.399714,0.268662
8,17.0,0.123116,0.274508
9,18.0,0.131218,0.259203
10,9.0,0.212678,0.402678
11,10.0,0.007555,0.174363
12,11.0,0.109387,0.266353
13,12.0,0.190429,0.32888
14,13.0,0.137457,0.450325
15,14.0,0.150061,0.297831
16,15.0,0.093991,0.453508
17,16.0,0.113292,0.299216
18,17.0,0.129446,0.288154
19,18.0,0.021813,0.317285
20,9.0,0.047334,0.441751
21,10.0,0.007518,0.190326
22,11.0,0.034182,0.266829
23,12.0,0.205622,0.277581
24,13.0,0.239783,0.265838
25,14.0,0.271355,0.299166
26,15.0,0.110256,0.287543
27,16.0,0.112075,0.26421
28,17.0,0.11699,0.239815
29,18.0,0.023259,0.277716
30,9.0,0.244998,0.339145
31,10.0,0.033291,0.289403
32,11.0,0.151273,0.295405
33,12.0,0.238438,0.335854
34,13.0,0.22292,0.350893
35,14.0,0.131847,0.230829
36,15.0,0.077494,0.260527
37,16.0,0.125931,0.227874
38,17.0,0.023398,0.260642
39,18.0,0.072357,0.247114
