,colormap,zoom level,COG,ZARR
0,0.0,9.0,0.628144,1.496575
1,0.0,10.0,0.197017,0.435336
2,0.0,11.0,0.173611,1.052474
3,0.0,12.0,0.261537,0.467905
4,0.0,13.0,0.312409,0.92755
5,0.0,14.0,0.19197,0.433495
6,0.0,15.0,0.177197,1.158432
7,0.0,16.0,0.133933,0.459832
8,0.0,17.0,0.147286,1.170229
9,0.0,18.0,0.147042,0.41615
10,1.0,9.0,0.016633,0.266344
11,1.0,10.0,0.017869,0.251308
12,1.0,11.0,0.283354,0.45908
13,1.0,12.0,0.279866,0.501777
14,1.0,13.0,0.31188,0.375082
15,1.0,14.0,0.23331,0.456978
16,1.0,15.0,0.180651,0.381596
17,1.0,16.0,0.227064,0.385638
18,1.0,17.0,0.137177,0.398242
19,1.0,18.0,0.027867,0.461023
20,2.0,9.0,0.014182,0.25192
21,2.0,10.0,0.015271,0.263793
22,2.0,11.0,0.209548,0.394586
23,2.0,12.0,0.257326,0.42109
24,2.0,13.0,0.188426,0.374768
25,2.0,14.0,0.241794,0.371166
26,2.0,15.0,0.227391,0.436076
27,2.0,16.0,0.148753,0.441097
28,2.0,17.0,0.297486,0.496713
29,2.0,18.0,0.16632,0.418383
30,3.0,9.0,0.028845,0.273349
31,3.0,10.0,0.316221,0.535475
32,3.0,11.0,0.269148,0.490269
33,3.0,12.0,0.210368,0.414028
34,3.0,13.0,0.223764,0.467322
35,3.0,14.0,0.03742,0.446896
36,3.0,15.0,0.176043,0.44628
37,3.0,16.0,0.233439,0.431049
38,3.0,17.0,0.166096,0.402986
39,3.0,18.0,0.024652,0.382354
40,4.0,9.0,0.029498,0.269249
41,4.0,10.0,0.028451,0.259776
42,4.0,11.0,0.013963,0.265838
43,4.0,12.0,0.265169,0.416281
44,4.0,13.0,0.254523,0.417619
45,4.0,14.0,0.174851,0.433475
46,4.0,15.0,0.169157,0.441931
47,4.0,16.0,0.159749,0.424482
48,4.0,17.0,0.147201,0.426728
49,4.0,18.0,0.029538,0.374342
50,5.0,9.0,0.027493,0.258122
51,5.0,10.0,0.349278,0.64089
52,5.0,11.0,0.016725,0.245784
53,5.0,12.0,0.28177,0.41294
54,5.0,13.0,0.035588,0.416244
55,5.0,14.0,0.198143,0.394259
56,5.0,15.0,0.158061,0.382424
57,5.0,16.0,0.142379,0.45446
58,5.0,17.0,0.030367,0.392116
59,5.0,18.0,0.151359,0.395967
