,colormap,zoom level,COG,ZARR
0,0.0,9.0,0.498854,1.227331
1,0.0,10.0,0.133589,0.314721
2,0.0,11.0,0.503142,0.785462
3,0.0,12.0,0.387674,0.41163
4,0.0,13.0,0.521067,0.754274
5,0.0,14.0,0.303408,0.407054
6,0.0,15.0,0.304651,0.742039
7,0.0,16.0,0.209557,0.334278
8,0.0,17.0,0.390797,0.866431
9,0.0,18.0,0.175044,0.439086
10,1.0,9.0,0.11876,0.240131
11,1.0,10.0,0.397753,0.47755
12,1.0,11.0,0.12098,0.27822
13,1.0,12.0,0.273089,0.384711
14,1.0,13.0,0.229395,0.371736
15,1.0,14.0,0.302014,0.343346
16,1.0,15.0,0.207853,0.373438
17,1.0,16.0,0.188163,0.373788
18,1.0,17.0,0.184183,0.586915
19,1.0,18.0,0.175126,0.365494
20,2.0,9.0,0.234866,0.351202
21,2.0,10.0,0.192929,0.360776
22,2.0,11.0,0.248688,0.340129
23,2.0,12.0,0.202372,0.363231
24,2.0,13.0,0.412822,0.65283
25,2.0,14.0,0.265326,0.401432
26,2.0,15.0,0.217905,0.33303
27,2.0,16.0,0.192243,0.408084
28,2.0,17.0,0.171725,0.338179
29,2.0,18.0,0.241275,0.359352
30,3.0,9.0,0.162983,0.459213
31,3.0,10.0,0.266434,0.344052
32,3.0,11.0,0.263499,0.37261
33,3.0,12.0,0.327905,0.374797
34,3.0,13.0,0.354761,0.412361
35,3.0,14.0,0.255443,0.33361
36,3.0,15.0,0.181025,0.40468
37,3.0,16.0,0.187515,0.347408
38,3.0,17.0,0.246227,0.500257
39,3.0,18.0,0.186655,0.355899
40,4.0,9.0,0.206164,0.354878
41,4.0,10.0,0.161738,0.379007
42,4.0,11.0,0.209245,0.365823
43,4.0,12.0,0.258879,0.505653
44,4.0,13.0,0.344258,0.36361
45,4.0,14.0,0.279831,0.374957
46,4.0,15.0,0.185351,0.357029
47,4.0,16.0,0.209437,0.382264
48,4.0,17.0,0.183217,0.50092
49,4.0,18.0,0.167245,0.428324
50,5.0,9.0,0.193789,0.439899
51,5.0,10.0,0.123749,0.312273
52,5.0,11.0,0.123135,0.2822
53,5.0,12.0,0.230764,0.382737
54,5.0,13.0,0.198735,0.47982
55,5.0,14.0,0.286476,0.41019
56,5.0,15.0,0.185156,0.431355
57,5.0,16.0,0.234869,0.350255
58,5.0,17.0,0.219667,0.416759
59,5.0,18.0,0.189296,0.367929
60,6.0,9.0,0.131303,0.326413
61,6.0,10.0,0.117593,0.226697
62,6.0,11.0,0.207651,0.430289
63,6.0,12.0,0.303628,0.401626
64,6.0,13.0,0.207468,0.368865
65,6.0,14.0,0.192413,0.344529
66,6.0,15.0,0.188062,0.408125
67,6.0,16.0,0.181387,0.356298
68,6.0,17.0,0.136592,0.390895
69,6.0,18.0,0.172748,0.369888
70,7.0,9.0,0.284555,0.537331
71,7.0,10.0,0.11691,0.24455
72,7.0,11.0,0.228607,0.406452
73,7.0,12.0,0.242366,0.330321
74,7.0,13.0,0.338748,0.335256
75,7.0,14.0,0.200107,0.371409
76,7.0,15.0,0.175959,0.326906
77,7.0,16.0,0.174961,0.349927
78,7.0,17.0,0.183865,0.421134
79,7.0,18.0,0.177553,0.479326
80,8.0,9.0,0.251779,0.39447
81,8.0,10.0,0.177233,0.355315
82,8.0,11.0,0.241593,0.396013
83,8.0,12.0,0.317518,0.384326
84,8.0,13.0,0.306875,0.406427
85,8.0,14.0,0.304509,0.405618
86,8.0,15.0,0.178968,0.403433
87,8.0,16.0,0.182983,0.519674
88,8.0,17.0,0.18487,0.424623
89,8.0,18.0,0.135043,0.300069
90,9.0,9.0,0.384926,0.495215
91,9.0,10.0,0.347723,0.341336
92,9.0,11.0,0.201303,0.509548
93,9.0,12.0,0.304802,0.405444
94,9.0,13.0,0.284953,0.51011
95,9.0,14.0,0.316978,0.387381
96,9.0,15.0,0.204114,0.393598
97,9.0,16.0,0.180001,0.372985
98,9.0,17.0,0.210772,0.430666
99,9.0,18.0,0.145519,0.396793
100,10.0,9.0,0.205529,0.462689
101,10.0,10.0,0.30437,0.466118
102,10.0,11.0,0.283909,0.388472
103,10.0,12.0,0.328808,0.311367
104,10.0,13.0,0.205174,0.416861
105,10.0,14.0,0.302572,0.413322
106,10.0,15.0,0.216735,0.407827
107,10.0,16.0,0.304789,0.60058
108,10.0,17.0,0.184702,0.352777
109,10.0,18.0,0.14421,0.33522
110,11.0,9.0,0.121535,0.230593
111,11.0,10.0,0.256127,0.378639
112,11.0,11.0,0.12216,0.249538
113,11.0,12.0,0.286648,0.521912
114,11.0,13.0,0.405377,0.386347
115,11.0,14.0,0.388874,0.407234
116,11.0,15.0,0.305097,0.383528
117,11.0,16.0,0.183738,0.405256
118,11.0,17.0,0.182055,0.429444
119,11.0,18.0,0.182628,0.426438
